id,url,do_not_use
10436,https://upload.wikimedia.org/wikipedia/commons/8/88/Austin_Mitchell.jpg,1
10453,https://upload.wikimedia.org/wikipedia/commons/8/80/Jim_Murphy.jpg,0
10415,https://upload.wikimedia.org/wikipedia/commons/a/af/Official_portrait_of_Gordon_Marsden_crop_2.jpg,1
24691,https://upload.wikimedia.org/wikipedia/commons/f/fc/Official_portrait_of_Chloe_Smith_MP_crop_2.jpg,1
24779,https://upload.wikimedia.org/wikipedia/commons/f/f1/Official_portrait_of_Neil_Parish_MP_crop_2.jpg,1
10499,https://upload.wikimedia.org/wikipedia/commons/f/f9/Official_portrait_of_Rt_Hon_John_Redwood_MP_crop_2.jpg,1
10454,https://upload.wikimedia.org/wikipedia/commons/d/d6/Official_portrait_of_Lord_Murphy_of_Torfaen_2020_crop_2.jpg,1
11036,https://upload.wikimedia.org/wikipedia/commons/f/fd/David_Laws_Minister.jpg,0
11859,https://upload.wikimedia.org/wikipedia/commons/3/39/Official_portrait_of_Rt_Hon_Jeremy_Hunt_MP_crop_2.jpg,1
10355,https://upload.wikimedia.org/wikipedia/commons/1/15/Oliver_Letwin_Official.jpg,1
11660,https://upload.wikimedia.org/wikipedia/commons/4/4c/Malcolm_Rifkind_2011_%28cropped%29.jpg,0
11970,https://upload.wikimedia.org/wikipedia/commons/2/20/Official_portrait_of_Rt_Hon_David_Mundell_MP_crop_2.jpg,1
10477,https://upload.wikimedia.org/wikipedia/commons/6/65/Eric_Pickles_Official.jpg,1
24697,https://upload.wikimedia.org/wikipedia/commons/8/8b/WillieBainMP.jpg,0
10683,https://upload.wikimedia.org/wikipedia/commons/1/1d/Official_portrait_of_Mr_Adrian_Bailey_crop_2.jpg,1
25120,https://upload.wikimedia.org/wikipedia/commons/5/52/Official_portrait_of_Jonathan_Ashworth_MP_crop_2.jpg,1
10022,https://upload.wikimedia.org/wikipedia/commons/d/d5/Norman_Baker_Official.jpg,0
10658,https://upload.wikimedia.org/wikipedia/commons/5/50/Tim_Yeo_MP_%2815216846249%29.jpg,0
11553,https://upload.wikimedia.org/wikipedia/commons/9/93/Ian_Austin_Official_Portrait.jpg,1
24786,https://upload.wikimedia.org/wikipedia/commons/f/fc/Official_portrait_of_Mr_Steve_Baker_MP_crop_2.jpg,1
24864,https://upload.wikimedia.org/wikipedia/commons/4/43/Official_portrait_of_Stuart_Andrew_MP_crop_2.jpg,1
10013,https://upload.wikimedia.org/wikipedia/commons/6/6e/Official_portrait_of_Lord_Arbuthnot_of_Edrom_crop_2.jpg,1
11869,https://upload.wikimedia.org/wikipedia/commons/2/22/Jeremy_Browne_-_Minister_for_Crime_Prevention.jpg,0
10075,https://upload.wikimedia.org/wikipedia/commons/4/4e/Official_portrait_of_Ms_Karen_Buck_MP_crop_2.jpg,1
11489,https://upload.wikimedia.org/wikipedia/commons/4/44/Mark_Williams_MP_2009.JPG,0
24857,https://upload.wikimedia.org/wikipedia/commons/7/75/Official_portrait_of_Fiona_Bruce_MP_crop_2.jpg,1
10761,https://upload.wikimedia.org/wikipedia/commons/c/c5/Official_portrait_of_Chris_Bryant_crop_2.jpg,1
10070,https://upload.wikimedia.org/wikipedia/commons/2/29/Russell_Brown_MP_2005-11-06.jpg,0
10009,https://upload.wikimedia.org/wikipedia/commons/7/7a/Official_portrait_of_Sir_David_Amess_MP_crop_2.jpg,1
11318,https://upload.wikimedia.org/wikipedia/commons/8/8c/Official_portrait_of_Bill_Wiggin_MP_crop_2.jpg,1
24958,https://upload.wikimedia.org/wikipedia/commons/6/6b/Official_portrait_of_Rushanara_Ali_MP_crop_2.jpg,1
10637,https://upload.wikimedia.org/wikipedia/commons/d/d9/Official_portrait_of_Lord_Willetts_crop_2.jpg,1
10074,https://upload.wikimedia.org/wikipedia/commons/f/fe/Official_portrait_of_Lord_Bruce_of_Bennachie_crop_2%2C_2019.jpg,1
10069,https://upload.wikimedia.org/wikipedia/commons/9/90/Official_portrait_of_Rt_Hon_Nicholas_Brown_MP_crop_2.jpg,1
11323,https://upload.wikimedia.org/wikipedia/commons/c/c6/Official_portrait_of_Hywel_Williams_MP_crop_2.jpg,1
10659,https://upload.wikimedia.org/wikipedia/commons/a/a0/Official_portrait_of_Lord_Young_of_Cookham%2C_2020.jpg,1
24822,https://upload.wikimedia.org/wikipedia/commons/e/ec/Official_portrait_of_Nadhim_Zahawi_MP_crop_2.jpg,1
11324,https://upload.wikimedia.org/wikipedia/commons/e/e1/Roger_Williams.jpg,0
10473,https://upload.wikimedia.org/wikipedia/commons/6/66/Official_portrait_of_Rt_Hon_Owen_Paterson_MP_crop_2.jpg,1
11545,https://upload.wikimedia.org/wikipedia/commons/e/ef/Official_portrait_of_Rt_Hon_Edward_Miliband_MP_crop_2.jpg,1
10031,https://upload.wikimedia.org/wikipedia/commons/f/ff/Official_portrait_of_Rt_Hon_Margaret_Beckett_MP_crop_2.jpg,1
